iter	Passed	Remaining
0	1	180
1	3	166
2	4	159
3	6	150
4	7	151
5	9	148
6	11	147
7	12	147
8	14	146
9	16	144
10	17	141
11	19	140
12	20	139
13	22	137
14	24	136
15	25	134
16	27	133
17	29	132
18	30	130
19	32	129
20	33	127
21	35	125
22	36	123
23	38	122
24	40	121
25	41	119
26	43	117
27	45	116
28	46	115
29	48	113
30	50	112
31	52	110
32	53	109
33	55	107
34	57	106
35	58	104
36	60	102
37	62	101
38	64	100
39	65	98
40	67	97
41	68	94
42	70	93
43	71	91
44	73	90
45	75	88
46	77	87
47	79	85
48	80	84
49	82	82
50	84	81
51	86	79
52	87	77
53	89	76
54	90	74
55	92	72
56	94	70
57	95	69
58	97	67
59	99	66
60	101	64
61	102	63
62	104	61
63	106	59
64	107	58
65	109	56
66	110	54
67	112	52
68	113	51
69	115	49
70	117	47
71	118	46
72	120	44
73	122	42
74	123	41
75	125	39
76	126	37
77	128	36
78	129	34
79	131	32
80	132	31
81	134	29
82	135	27
83	137	26
84	138	24
85	140	22
86	141	21
87	143	19
88	144	17
89	146	16
90	147	14
91	149	12
92	150	11
93	151	9
94	153	8
95	154	6
96	156	4
97	157	3
98	159	1
99	160	0
