iter	Passed	Remaining
0	141	140874
1	142	71333
2	144	48128
3	146	36478
4	148	29508
5	150	24875
6	152	21640
7	154	19136
8	156	17183
9	158	15665
10	160	14406
11	162	13355
12	164	12504
13	166	11730
14	168	11071
15	170	10482
16	172	9960
17	173	9485
18	175	9064
19	177	8709
20	179	8381
21	181	8078
22	183	7793
23	185	7541
24	187	7303
25	188	7078
26	190	6878
27	192	6696
28	194	6514
29	196	6345
30	197	6188
31	199	6041
32	201	5902
33	203	5769
34	204	5648
35	206	5540
36	208	5428
37	210	5324
38	211	5222
39	213	5126
40	215	5033
41	216	4948
42	218	4868
43	221	4809
44	223	4738
45	224	4665
46	226	4597
47	228	4530
48	230	4465
49	231	4402
50	233	4343
51	235	4292
52	237	4240
53	238	4186
54	240	4138
55	242	4089
56	244	4042
57	246	3996
58	247	3951
59	249	3913
60	251	3874
61	253	3835
62	255	3797
63	256	3758
64	258	3722
65	260	3687
66	262	3650
67	264	3618
68	265	3588
69	267	3558
70	269	3525
71	271	3496
72	272	3466
73	274	3437
74	276	3411
75	278	3385
76	280	3362
77	282	3338
78	284	3315
79	286	3291
80	287	3264
81	289	3239
82	290	3208
83	292	3184
84	293	3164
85	296	3148
86	298	3128
87	299	3108
88	301	3087
89	303	3067
90	304	3046
91	306	3026
92	308	3007
93	310	2994
94	312	2976
95	314	2960
96	316	2942
97	317	2925
98	319	2908
99	321	2892
100	323	2875
101	325	2865
102	327	2853
103	329	2837
104	331	2822
105	332	2807
106	334	2793
107	336	2778
108	337	2762
109	339	2750
110	341	2737
111	343	2724
112	345	2710
113	347	2698
114	348	2685
115	350	2673
116	352	2659
117	354	2650
118	356	2641
119	358	2629
120	360	2617
121	361	2603
122	363	2590
123	365	2581
124	367	2571
125	369	2563
126	371	2554
127	373	2546
128	375	2537
129	377	2529
130	379	2518
131	381	2509
132	383	2499
133	385	2492
134	387	2483
135	389	2472
136	390	2463
137	392	2453
138	394	2443
139	396	2433
140	398	2425
141	399	2414
142	401	2407
143	403	2398
144	405	2390
145	407	2381
146	409	2373
147	410	2364
148	412	2355
149	414	2346
150	416	2340
151	418	2332
152	419	2323
153	421	2315
154	423	2307
155	424	2299
156	426	2290
157	428	2282
158	430	2276
159	432	2268
160	433	2258
161	435	2252
162	437	2245
163	438	2237
164	440	2230
165	442	2222
166	444	2215
167	446	2210
168	447	2202
169	449	2195
170	451	2188
171	453	2181
172	454	2174
173	456	2168
174	458	2161
175	460	2155
176	462	2150
177	464	2144
178	466	2137
179	467	2131
180	469	2126
181	471	2120
182	473	2115
183	475	2110
184	477	2104
185	479	2097
186	480	2091
187	482	2085
188	484	2080
189	486	2073
190	488	2069
191	490	2065
192	492	2060
193	494	2054
194	496	2048
195	498	2043
196	500	2038
197	501	2032
198	503	2028
199	505	2023
200	507	2018
201	509	2013
202	511	2009
203	513	2004
204	515	1999
205	517	1995
206	519	1991
207	522	1987
208	523	1981
209	525	1976
210	527	1970
211	528	1965
212	530	1960
213	532	1955
214	534	1950
215	536	1945
216	537	1939
217	539	1934
218	540	1929
219	542	1923
220	544	1918
221	545	1913
222	547	1908
223	549	1903
224	551	1900
225	553	1896
226	555	1892
227	557	1887
228	558	1882
229	560	1877
230	562	1873
231	564	1870
232	567	1867
233	569	1862
234	570	1857
235	572	1853
236	574	1849
237	576	1845
238	578	1840
239	580	1837
240	582	1833
241	583	1828
242	585	1824
243	587	1819
244	589	1815
245	591	1811
246	593	1807
247	595	1804
248	597	1800
249	598	1795
250	600	1791
251	601	1786
252	603	1782
253	605	1777
254	606	1772
255	608	1769
256	611	1766
257	612	1762
258	614	1758
259	616	1753
260	617	1749
261	619	1745
262	621	1741
263	623	1737
264	625	1734
265	627	1730
266	628	1726
267	630	1722
268	632	1718
269	634	1714
270	635	1710
271	637	1705
272	639	1702
273	641	1698
274	643	1695
275	644	1690
276	646	1687
277	648	1683
278	649	1679
279	651	1675
280	653	1671
281	655	1668
282	656	1664
283	658	1660
284	660	1656
285	661	1652
286	663	1648
287	664	1643
288	666	1639
289	668	1635
290	669	1631
291	671	1627
292	673	1624
293	674	1620
294	676	1616
295	677	1612
296	679	1607
297	680	1603
298	682	1599
299	683	1595
300	685	1591
301	687	1587
302	688	1583
303	690	1579
304	691	1575
305	692	1571
306	694	1567
307	695	1563
308	697	1559
309	699	1556
310	700	1552
311	702	1548
312	703	1544
313	705	1540
314	706	1536
315	708	1533
316	709	1529
317	711	1525
318	712	1521
319	714	1518
320	716	1515
321	717	1511
322	719	1507
323	720	1503
324	722	1500
325	723	1496
326	725	1492
327	726	1489
328	728	1485
329	730	1482
330	731	1479
331	733	1475
332	734	1471
333	736	1468
334	737	1464
335	739	1460
336	740	1456
337	741	1453
338	743	1449
339	745	1447
340	746	1443
341	748	1439
342	749	1436
343	751	1432
344	752	1429
345	754	1425
346	755	1422
347	757	1418
348	758	1415
349	760	1412
350	762	1409
351	763	1405
352	765	1402
353	766	1399
354	768	1396
355	769	1392
356	771	1389
357	772	1386
358	775	1384
359	776	1380
360	778	1377
361	779	1374
362	781	1370
363	782	1367
364	784	1364
365	785	1360
366	787	1357
367	789	1355
368	791	1353
369	792	1350
370	794	1347
371	796	1344
372	798	1341
373	799	1338
374	801	1335
375	802	1332
376	804	1329
377	806	1327
378	808	1324
379	809	1321
380	811	1318
381	813	1315
382	814	1312
383	816	1309
384	818	1306
385	819	1304
386	821	1301
387	823	1298
388	824	1295
389	826	1292
390	828	1289
391	829	1286
392	831	1283
393	832	1280
394	834	1278
395	836	1275
396	837	1272
397	839	1269
398	840	1266
